id type color
0 zero red
1 one red
2 one red
3 two red
4 two red
5 three red
6 three red
7 four red
8 four red
9 five red
10 five red
11 six red
12 six red
13 seven red
14 seven red
15 eight red
16 eight red
17 nine red
18 nine red
19 skip red
20 skip red
21 reverse red
22 reverse red
23 plustwo red
24 plustwo red
25 zero yellow
26 one yellow
27 one yellow
28 two yellow
29 two yellow
30 three yellow
31 three yellow
32 four yellow
33 four yellow
34 five yellow
35 five yellow
36 six yellow
37 six yellow
38 seven yellow
39 seven yellow
40 eight yellow
41 eight yellow
42 nine yellow
43 nine yellow
44 skip yellow
45 skip yellow
46 reverse yellow
47 reverse yellow
48 plustwo yellow
49 plustwo yellow
